,FilePath,Found in,% snippet in diff
85,final/flare-engine/flare-android-project-app-src-main-java-org-libsdl-app-SDLActivity,4,0.024327312937707336
86,final/flatpack/flatpack-src-main-java-net-sf-flatpack-util-ParserUtils,18,0.1423258120505827
87,final/gocardless-java/src-main-java-gocardless-utils-BeanUtils,3,1.6997206703910615
88,final/google-maps-services-java/src-test-java-com-google-maps-internal-UrlSignerTest,5,0.3886792452830189
89,final/hacrypto/TestGen-src-com-galois-hacrypto-test-Util,7,0.07575757575757576
90,final/hlmng/hlmng-src-testing-RestTest,16,0.06566085847853803
91,final/hunk-demo-image-reader/src-com-splunk-hunk-input-image-HsbBucketProcessor,5,0.10811698981268485
92,final/hx3d-framework/tests-android-src-org-libsdl-app-SDLActivity,3,1.0513274336283185
93,final/iBurn-Android/iBurn-src-main-java-com-gaiagps-iburn-fragment-GoogleMapFragment,29,0.018977510636860945
94,final/jFM/src-main-java-de-jwi-jfm-FileWrapper,3,0.29644921552436004
95,final/java-genomics-toolkit/src-edu-unc-utils-SortUtils,5,0.6117021276595744
96,final/java-http-observatory-api/src-main-java-eu-toennies-javahttpobservatoryapi-ConsoleUtilities,3,0.7324940991345398
97,final/kiss-launcher/app-src-main-java-fr-neamar-kiss-IconsHandler,5,0.09152907394113424
98,final/kona-media/src-main-java-com-linuxtek-kona-media-util-KImageUtil,4,1.0808823529411764
99,final/life-game/src-main-java-org-systemexception-lifegame-gui-GridGui,7,0.40298507462686567
100,final/logparser/httpdlog-httpdlog-parser-src-main-java-nl-basjes-parse-httpdlog-dissectors-HttpUriDissector,15,0.1904553415061296
101,final/lti_starter/src-main-java-ltistarter-Application,15,0.6056590257879656
102,final/madcap/backend-src-main-java-org-fraunhofer-cese-madcap-backend-apis-ProbeDataSetEndpoint,29,0.2473253618628068
103,final/mechanical_turk/mechanical_turk-src-org-neu-ccs-mechanical_turk-TurkApplet,6,0.03894594070916489
104,final/metasfresh/de.metas.fresh-de.metas.fresh.base-src-main-java-de-metas-fresh-gui-search-MRPInfoWindow,6,0.14356537905391448
105,final/mhealth-grabapp/app-src-main-java-edu-cwru-sail-imagelearning-MainActivity,6,0.24560454422504732
106,final/notary-cache/notary_cache-client-src-main-java-de-donotconnect-notary_cache-client-Evaluation-FastZipfGenerator,2,1.1497584541062802
107,final/nus-soc-print/app-src-main-java-com-yeokm1-nussocprintandroid-print_activities-printing-PrintingActivity,29,0.11428571428571428
108,final/opennars/src-main-java-org-opennars-inference-CompositionalRules,20,0.07935710698141638
109,final/openshift-pipeline-plugin/src-main-java-com-openshift-jenkins-plugins-pipeline-model-IOpenShiftPlugin,2,0.01671915140465733
110,final/osm2garmin/Osm2garminAPI-src-main-java-jbittorrentapi-Utils,2,0.034921604561189167
111,final/per-aspera-ad-diploma/app-src-main-java-ru-mail-park-chat-models-Contact,3,0.09082156611039795
112,final/psychic-engine/app-src-main-java-com-psychic_engine-cmput301w17t10-feelsappman-Activities-CreateMoodActivity,15,0.4156567310841795
113,final/ramp/src-it-unibo-deis-lia-ramp-RampEntryPoint,3,0.01186908282555624
114,final/react-native-bluetooth-io/android-src-main-java-com-subsite-bluetoothio-BluetoothIOModule,8,0.06272855133614627
115,final/regal-api/app-models-Pair,5,0.8818897637795275
116,final/renjin/tools-gcc-bridge-runtime-src-main-java-org-renjin-gcc-runtime-Mathlib,10,0.4803220035778175
117,final/rico/avro-src-main-java-com-quantiply-avro-AvroToJson,4,0.4518218623481781
118,final/s3-directory-listing/src-main-java-com-kaazing-operations-S3File,3,0.33752417794970985
119,final/sc-utils-java/sc-utils-java-src-main-java-br-com-softctrl-utils-StringUtils,3,0.6242884250474383
120,final/scavenger/app-src-main-java-ca-dal-cs-scavenger-BuildChallenge,17,0.07919538613025742
121,final/sensor-recording/app-src-main-java-com-michaeltroger-sensorrecording-MainActivity,22,0.16744186046511628
122,final/sensors/pitchroll3-app-src-main-java-edu-cs4730-pitchroll3-MainActivity,2,0.12660188705816083
123,final/sgsim-ingenias/src-main-javagensrc-ingenias-jade-MainSampleCaseProdStandAlone,4,0.845945945945946
124,final/skandroid-core/libcore-src-com-samknows-measurement-activity-components-CustomScrollView,3,0.9950576606260296
125,final/smarthome/bundles-config-org.eclipse.smarthome.config.dispatch.test-src-test-java-org-eclipse-smarthome-config-dispatch-test-ConfigDispatcherOSGiTest,8,0.02029901543697581
126,final/sthlmtraveling/sthlmtraveling-src-main-java-com-markupartist-sthlmtraveling-ChangeRouteTimeActivity,14,0.135297845373891
127,final/summa/Core-src-main-java-dk-statsbiblioteket-summa-common-util-MachineStats,2,0.08426019548365352
128,final/swift-explorer/src-main-java-org-swiftexplorer-util-FileUtils,7,0.11707480711170748
129,final/swingx/swingx-core-src-test-java-org-jdesktop-swingx-renderer-RendererVisualCheck,10,0.051583207681930004
130,final/symja_android_library/symja_android_library-tools-src-main-java-org-matheclipse-core-examples-SymbolicSO43739728,3,0.3541374474053296
131,final/symja_android_library/symja_android_library-matheclipse-core-src-main-java-org-matheclipse-core-expression-NumberUtil,10,0.5930232558139535
132,final/tdme/src-net-drewke-tdme-gui-GUIParser,28,0.08670081578448112
133,final/testarea-itext5/src-test-java-mkl-testarea-itext5-signature-VerifySignature,7,0.27927927927927926
134,final/testarea-pdfclown0/src-test-java-mkl-testarea-pdfclown0-annotate-ComplexHighlight,3,4.7208976157082745
135,final/tweets-generator/src-main-java-org-dcw-twitter-util-Utils,4,1.4045801526717556
136,final/utilities/java-util-src-main-java-com-simiacryptus-util-data-DoubleStatistics,10,1.6409937888198758
137,final/varan-gie/src-at-ccri-varan-ui-GIEAnnoDialog,5,0.6710526315789473
138,final/vtm/vtm-extras-src-org-oscim-utils-wkb-WKBReader,3,0.029914529914529916
139,final/wnc-waterfalls-android/src-info-wncwaterfalls-app-ResultsActivity,4,0.9933065595716198
140,final/workcraft/WorkcraftCore-src-org-workcraft-gui-DesktopApi,10,0.777059773828756
